accelerator,Model,Features,avg_mae,std_mae,avg_r2,std_r2,avg_train_time_sec,std_train_time_sec,avg_infer_time_sec,std_infer_time_sec,avg_peak_cpu,std_peak_cpu,avg_peak_memory_mb,std_peak_memory_mb,avg_peak_gpu_util,avg_peak_gpu_memory_mb,file,cpu_train_time,cpu_infer_time,speedup_train_vs_cpu,speedup_infer_vs_cpu
CPU,LSTM,Baseline,50.55299052666019,1.2345899987028128,0.0966569596422159,0.057875974210673,22.794703502399894,1.83385007458494,0.1332877239999106,0.0195692852010489,252.94,152.27085407260313,3173.16640625,211.19640300823244,,,kfold_avg_CPU_20260129_170814.csv,17.84455051499999,0.1287572463999822,0.7828375794895188,0.9660097909697113
CPU,LSTM,Enhanced,43.7791536064519,2.389746841064391,0.3020646949746555,0.0728649503885611,24.429923275599776,2.0976065021258803,0.1737027057998602,0.047537953577413,172.1,2.008730942660057,3210.09140625,207.32890447851975,,,kfold_avg_CPU_20260129_170814.csv,17.904015518200005,0.1303511029999754,0.7328723596967762,0.7504264392413416
CPU,LSTM,Enhanced_2,45.2562713342728,1.2862534984722096,0.2683441537108386,0.0462616612843431,22.779510924399894,0.9279167280775212,0.1841569010000057,0.0658919178658487,185.68,28.59767473064899,3247.19921875,182.25607325268425,,,kfold_avg_CPU_20260129_170814.csv,17.731048529600002,0.1306449068000802,0.7783770506946084,0.7094217272915347
CPU,MLP,Baseline,55.87452826199166,1.3078656123690318,-0.0451267334697733,0.1355089813046437,2.4660769214000537,0.7731826843401852,0.0019547697999769,0.0005572655858564,106.0,4.97895571380184,3117.62578125,188.9832168353116,,,kfold_avg_CPU_20260129_170814.csv,0.7070906377999109,0.0014072222000777,0.28672691904455183,0.7198915187324509
CPU,MLP,Enhanced,41.171591135095866,1.7707902013466046,0.3807349261841093,0.0464557423338952,2.0649136011998963,0.2449270615495136,0.0019324671999129,0.0002617316726361,123.86,34.929829658903294,3149.47109375,219.35263951950145,,,kfold_avg_CPU_20260129_170814.csv,0.7672539487999529,0.0015330594000261,0.3715670952790039,0.7933171647597422
CPU,MLP,Enhanced_2,41.12332122472672,2.2197927377579467,0.3789372904962479,0.0632221279768732,2.052125196400175,0.112716744551575,0.0016086573999928,0.000119985649132,109.02,5.375127905454906,3168.07109375,179.53467633755156,,,kfold_avg_CPU_20260129_170814.csv,0.7814394345999517,0.0015322878000006,0.3807952048787022,0.9525258765523711
CPU,RF,Baseline,43.00397094255337,0.8322454118490893,0.3201020351376006,0.0411836216459742,10.124150969400215,5.695741378565221,0.077325304399892,0.0255131558711998,174.06,34.56187205577846,3115.21484375,208.8581099835388,,,kfold_avg_CPU_20260129_170814.csv,2.5654461229999925,0.0731401759999698,0.253398643575539,0.9458763410968474
CPU,RF,Enhanced,38.05305597472176,1.393841721167525,0.462433270452658,0.0401419144785025,13.794721560799823,0.9855008515855662,0.0828685946000405,0.0458478910803653,191.54,24.345287018230025,3163.765625,221.2090944052048,,,kfold_avg_CPU_20260129_170814.csv,2.8394416431999616,0.0632411600000068,0.2058353719344901,0.7631499038355346
CPU,RF,Enhanced_2,39.76643083218629,1.298784732231064,0.4212401800945528,0.0326594879511111,14.183024796599785,0.7211626097499083,0.061304648999976,0.0210437771643343,253.62,156.48800912530007,3180.7140625,181.98684809188265,,,kfold_avg_CPU_20260129_170814.csv,3.152368739400026,0.061304648999976,0.22226350053027968,1.0
CPU,XGB,Baseline,43.946343908907735,1.4870670759044284,0.3051694981093147,0.0444573989653287,1.539642219399775,1.0531410347619856,0.0057886956001311,0.0035024178914616,136.02,154.44290854552045,3117.27265625,190.0337798236409,,,kfold_avg_CPU_20260129_170814.csv,1.1778321322000012,0.0057886956001311,0.7650037894252962,1.0
CPU,XGB,Enhanced,39.224923932157125,1.1209064145627177,0.4461169448176141,0.0449485773881463,1.862120818600215,1.1961862379160382,0.004666969200025,0.0008430188048244,60.58,61.85355284864403,3148.8625,219.52256647430872,,,kfold_avg_CPU_20260129_170814.csv,0.4681875583999499,0.004666969200025,0.2514270576448921,1.0
CPU,XGB,Enhanced_2,39.5373673675821,1.0472642419424694,0.4412492815509575,0.0413964670404317,1.5854136315998404,0.5127602350656053,0.0048347153999202,0.0015644639564415,86.02,32.13015717359627,3167.71171875,179.54972871798674,,,kfold_avg_CPU_20260129_170814.csv,0.4354273029999603,0.0038547513999674,0.27464586800642726,0.7973067866685648
CPU,LSTM,Baseline,51.28068121907679,1.7212503052049313,0.0914734072993431,0.0592794590933338,8.19673564079999,0.2900257045552086,0.0651674268000306,0.0026003857749337,324.02,8.50452820560905,11318.7328125,1942.8541313397045,,,kfold_avg_CPU_20260129_175902.csv,17.84455051499999,0.1287572463999822,2.177031356992549,1.9757914762398099
CPU,LSTM,Enhanced,43.636151697463305,1.2196270254697843,0.3005981140755026,0.0207659914914792,8.107383053799982,0.066072982086136,0.0645686727999645,0.0004537805268525,325.94,15.0197536597642,11962.41875,850.5276972625463,,,kfold_avg_CPU_20260129_175902.csv,17.904015518200005,0.1303511029999754,2.2083593928386396,2.0187979301325685
CPU,LSTM,Enhanced_2,44.00876133368942,1.8468717215949928,0.2834257730988753,0.0451253752799568,8.421063017200026,0.3610537167941591,0.0640833030000294,0.0006296024171463,315.5,10.250365847129544,12159.7171875,656.29429147177,,,kfold_avg_CPU_20260129_175902.csv,17.731048529600002,0.1306449068000802,2.1055594161193576,2.0386731127142474
CPU,MLP,Baseline,55.87452826199166,1.3078656123690309,-0.0451267334697734,0.1355089813046437,0.3602660280000236,0.2351959870072071,0.0007662800000389,5.742131878089121e-05,153.32,142.14400092863573,11279.6296875,1928.567577995679,,,kfold_avg_CPU_20260129_175902.csv,0.7070906377999109,0.0014072222000777,1.9626902978480796,1.8364334186018982
CPU,MLP,Enhanced,41.17159113509587,1.770790201346605,0.3807349261841094,0.0464557423338952,0.287954447800007,0.0358095504912694,0.0008163100000047,5.379394109501868e-05,357.02000000000004,632.5565800780196,11879.21796875,851.6224926160093,,,kfold_avg_CPU_20260129_175902.csv,0.7672539487999529,0.0015330594000261,2.6644976476725017,1.8780357952460134
CPU,MLP,Enhanced_2,41.12332122472672,2.219792737757948,0.3789372904962479,0.0632221279768732,0.3035505981999449,0.0342900108623825,0.0008098117999907,4.039415316426917e-05,138.06,149.83280014736428,12108.28671875,657.5565758016141,,,kfold_avg_CPU_20260129_175902.csv,0.7814394345999517,0.0015322878000006,2.5743300762175654,1.8921529669216934
CPU,RF,Baseline,43.00397094255338,0.8322454118490851,0.3201020351376006,0.0411836216459742,0.6213213207999843,0.340314159055426,0.0275362007999774,0.0053486070836192,350.92,66.40193521276318,10703.87109375,3097.1534408246985,,,kfold_avg_CPU_20260129_175902.csv,2.5654461229999925,0.0731401759999698,4.129016721487755,2.6561462320549984
CPU,RF,Enhanced,38.053055974721765,1.3938417211675254,0.462433270452658,0.0401419144785025,0.6664987297999915,0.308330138877979,0.0309960405999845,0.0092628059478564,489.62,99.98768424161048,11632.18515625,1310.9237036995655,,,kfold_avg_CPU_20260129_175902.csv,2.8394416431999616,0.0632411600000068,4.2602356407371476,2.04029801148339
CPU,RF,Enhanced_2,39.766430832186295,1.2987847322310635,0.4212401800945528,0.0326594879511111,0.5638142648000212,0.0713819975471463,0.0268097470000611,0.0101751794122407,572.0,221.89396116163232,12038.91484375,774.2096048047556,,,kfold_avg_CPU_20260129_175902.csv,3.152368739400026,0.061304648999976,5.591147539550347,2.2866552601125365
CPU,XGB,Baseline,43.946343908907735,1.4870670759044284,0.3051694981093147,0.0444573989653287,1.1778321322000012,2.298440712611713,0.0016492716000129,0.0002909475208154,1567.02,1550.510215058256,11064.23046875,2398.1671171155017,,,kfold_avg_CPU_20260129_175902.csv,1.1778321322000012,0.0057886956001311,1.0,3.509849802837703
CPU,XGB,Enhanced,39.224923932157125,1.1209064145627177,0.4461169448176141,0.0449485773881463,0.3374081626000361,0.2756407243223713,0.0021198796000135,0.0008356794986967,1207.14,1841.5034477295992,11874.92265625,853.5663469732757,,,kfold_avg_CPU_20260129_175902.csv,0.4681875583999499,0.004666969200025,1.3875999762191285,2.2015255960740787
CPU,XGB,Enhanced_2,39.5373673675821,1.0472642419424694,0.4412492815509575,0.0413964670404317,0.303797787800022,0.1245520477749122,0.0019135716000391,0.0001538758125421,1888.14,1470.843551503694,12104.93125,660.5960753813673,,,kfold_avg_CPU_20260129_175902.csv,0.4354273029999603,0.0038547513999674,1.4332800319355348,2.014427576103573
CPU,LSTM,Baseline,50.49509713902664,0.7528825384139023,0.0857954556027839,0.0487867483956584,17.84455051499999,0.9393495533840812,0.1287572463999822,0.0065662098662992,309.46,12.796796474118027,4024.85859375,219.96207037548453,,,kfold_avg_CPU_20260129_181309.csv,17.84455051499999,0.1287572463999822,1.0,1.0
CPU,LSTM,Enhanced,43.35735256966411,1.4828726896894575,0.3110436564563111,0.0443021634315662,17.904015518200005,0.7255366466249529,0.1303511029999754,0.0062591980457054,304.66,9.27566709191312,4059.93984375,238.59316603793343,,,kfold_avg_CPU_20260129_181309.csv,17.904015518200005,0.1303511029999754,1.0,1.0
CPU,LSTM,Enhanced_2,43.79750587202447,2.179215709318009,0.288813159162115,0.0582501206181737,17.731048529600002,0.2780295133198667,0.1306449068000802,0.0122992295340625,297.7,10.564800045433897,4117.26953125,233.1711141104433,,,kfold_avg_CPU_20260129_181309.csv,17.731048529600002,0.1306449068000802,1.0,1.0
CPU,MLP,Baseline,55.87452826199166,1.3078656123690318,-0.0451267334697733,0.1355089813046437,0.7070906377999109,0.0741100071000479,0.0014072222000777,8.139709221483651e-05,174.66,109.96523541556212,3975.58671875,201.0390228120833,,,kfold_avg_CPU_20260129_181309.csv,0.7070906377999109,0.0014072222000777,1.0,1.0
CPU,MLP,Enhanced,41.171591135095866,1.7707902013466046,0.3807349261841093,0.0464557423338952,0.7672539487999529,0.071182189178412,0.0015330594000261,0.0001524403167026,122.6,34.62953941362778,3989.14453125,247.9592406864666,,,kfold_avg_CPU_20260129_181309.csv,0.7672539487999529,0.0015330594000261,1.0,1.0
CPU,MLP,Enhanced_2,41.12332122472672,2.2197927377579467,0.3789372904962479,0.0632221279768732,0.7814394345999517,0.0492390835496025,0.0015322878000006,6.893106739767472e-05,125.02,35.70864041097056,4042.80703125,218.90375439459532,,,kfold_avg_CPU_20260129_181309.csv,0.7814394345999517,0.0015322878000006,1.0,1.0
CPU,RF,Baseline,43.00397094255337,0.8322454118490861,0.3201020351376006,0.0411836216459741,2.5654461229999925,1.3436702846476871,0.0731401759999698,0.0198046913632183,342.26,47.22423106838266,3934.56640625,278.5403873053771,,,kfold_avg_CPU_20260129_181309.csv,2.5654461229999925,0.0731401759999698,1.0,1.0
CPU,RF,Enhanced,38.05305597472176,1.393841721167525,0.4624332704526581,0.0401419144785025,2.8394416431999616,0.1412519530205961,0.0632411600000068,0.0217116704500083,654.5600000000001,51.985315234208166,3990.73984375,252.33673634856925,,,kfold_avg_CPU_20260129_181309.csv,2.8394416431999616,0.0632411600000068,1.0,1.0
