accelerator,Model,Features,Fold,mae,r2,train_time_sec,infer_time_sec,peak_cpu_percent,peak_memory_mb,peak_gpu_util_percent,peak_gpu_memory_mb
CPU,RF,Baseline,1,41.92947830678919,0.34323671695071156,20.11049157499974,0.06811104400003387,137.3,2811.87109375,,
CPU,XGB,Baseline,1,41.69347026625352,0.3605108646895996,3.2768257769998854,0.011869719000060286,96.3,2857.83203125,,
CPU,MLP,Baseline,1,54.3005716904483,-0.012858157042367813,3.576596777999839,0.0016510629998265358,111.2,2859.8515625,,
CPU,LSTM,Baseline,1,50.390469695674525,0.05306821935247574,21.78150578199984,0.1655234670001846,522.9,2885.76953125,,
CPU,RF,Enhanced,1,35.83437399561524,0.5052010158600355,15.297236277999673,0.1600979169998027,206.4,2904.87890625,,
CPU,XGB,Enhanced,1,37.679004056272184,0.4818518605456993,4.000868497999818,0.005453844999919966,129.6,2893.25,,
CPU,MLP,Enhanced,1,38.21960490310725,0.4507281149129777,1.6961639269998159,0.0017216870000993367,114.5,2893.44140625,,
CPU,LSTM,Enhanced,1,39.84666111189306,0.38937266451228025,21.416385719000118,0.2524826390003909,172.4,2968.046875,,
CPU,RF,Enhanced_2,1,38.89742553226092,0.42183334683868334,15.357540549000078,0.07774439100012387,206.5,2979.82421875,,
CPU,XGB,Enhanced_2,1,38.047312238552806,0.4715462536949814,2.5020430109998415,0.007625184000062291,138.7,2967.87109375,,
CPU,MLP,Enhanced_2,1,37.60481571233141,0.46423157744368526,2.1825645860003533,0.001561277999826416,106.7,2967.88671875,,
CPU,LSTM,Enhanced_2,1,43.57379156080865,0.32308283734416554,22.853998549999687,0.24605495900004826,171.6,3044.64453125,,
CPU,RF,Baseline,2,43.85492812459162,0.2965894232168165,7.342285240000365,0.08920650199979718,204.1,3045.1484375,,
CPU,XGB,Baseline,2,45.62151745455669,0.266344731961357,0.6995125579996966,0.003338493000228482,399.9,3037.5390625,,
CPU,MLP,Baseline,2,57.92917608068255,-0.2824145078778717,1.5611541139996916,0.0028111860001445166,108.3,3037.78515625,,
CPU,LSTM,Baseline,2,50.19067873303255,0.10042306460882888,24.31695922400013,0.12095259099987743,173.9,3058.21484375,,
CPU,RF,Enhanced,2,39.0758943347388,0.4467625182358653,14.098243188999732,0.05748356200001581,199.0,2977.5,,
CPU,XGB,Enhanced,2,40.29604883596554,0.42343360276336817,1.2899853250000888,0.005708245999812789,9.3,2962.71875,,
CPU,MLP,Enhanced,2,42.847371890028164,0.3493190594763823,2.1020459649998884,0.002060846999484056,106.7,2964.55859375,,
CPU,LSTM,Enhanced,2,44.59329283735129,0.2866219227841955,25.97746867099977,0.17945027299992944,173.2,3023.55859375,,
CPU,RF,Enhanced_2,2,39.21033794335688,0.44210569504099784,13.665739944000052,0.046405714999309566,199.9,3021.84765625,,
CPU,XGB,Enhanced_2,2,40.519876333434894,0.4207982630166953,1.3837872669992066,0.00426433799930237,65.5,3009.52734375,,
CPU,MLP,Enhanced_2,2,43.37682953907998,0.32831817732703694,1.9882045260001178,0.0016978520006887265,101.3,3010.015625,,
CPU,LSTM,Enhanced_2,2,46.21157420172779,0.27012483122872555,22.821409850000236,0.13205237700003636,236.7,3090.24609375,,
CPU,RF,Baseline,3,42.47472604262107,0.3138335978083524,6.949216252000042,0.0942984309995154,197.0,3099.0234375,,
CPU,XGB,Baseline,3,43.465423776141535,0.298492872252071,1.2846992219992899,0.004489961999752268,46.1,3086.36328125,,
CPU,MLP,Baseline,3,55.7891659801433,0.011767944197934255,2.74314872100058,0.002210941000157618,103.7,3086.75,,
CPU,LSTM,Baseline,3,50.37546447183009,0.12461442559285141,22.358184826999604,0.12075854900012928,220.6,3172.1953125,,
CPU,RF,Enhanced,3,37.73865723734383,0.4798852294696784,13.676012046999858,0.08874754499993287,203.7,3177.33984375,,
CPU,XGB,Enhanced,3,38.808292990901144,0.4654789328238632,1.3407200740002736,0.003991786999904434,126.8,3162.89453125,,
CPU,MLP,Enhanced,3,41.06730340559481,0.3608886994952738,2.3832917099998667,0.002009327999985544,102.0,3162.7578125,,
CPU,LSTM,Enhanced,3,43.71733542963596,0.3351548550450525,23.020614561000002,0.1296534539997083,170.3,3247.046875,,
CPU,RF,Enhanced_2,3,42.05826961799136,0.37837061138565786,14.398693635999734,0.08997621500020614,202.8,3256.734375,,
CPU,XGB,Enhanced_2,3,38.98400534422553,0.4689973163903586,1.362979247000112,0.004055309000250418,55.5,3246.234375,,
CPU,MLP,Enhanced_2,3,41.577562169594316,0.355891213889758,1.9093817670000135,0.001570616000208247,114.7,3246.36328125,,
CPU,LSTM,Enhanced_2,3,44.15981523526074,0.3042293632264358,21.628584554000554,0.11773303599966312,170.7,3328.796875,,
CPU,RF,Baseline,4,43.78559429773185,0.2703454395659223,6.677372445000401,0.03671025699986785,135.4,3336.50390625,,
CPU,XGB,Baseline,4,44.76908657618589,0.25998276221342487,1.6885072209997816,0.005538993000300252,128.5,3328.27734375,,
CPU,MLP,Baseline,4,55.507005489068504,-0.0018585152922165893,2.4947914029999083,0.0014414130000659497,98.5,3326.26953125,,
CPU,LSTM,Baseline,4,52.5865785036998,0.0296774715552508,20.531888000000436,0.12075950099915644,174.0,3400.03125,,
CPU,RF,Enhanced,4,39.33882222540768,0.40095442453630925,12.73021431699999,0.06103548999999475,200.3,3398.296875,,
CPU,XGB,Enhanced,4,40.348001826624454,0.3779978621692276,1.296080152000286,0.00399365800058149,19.0,3386.203125,,
